,filename,filepath,label
0,0_01_0,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_0.npy,0
1,0_01_1,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_1.npy,0
2,0_01_10,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_10.npy,0
3,0_01_11,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_11.npy,0
4,0_01_12,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_12.npy,0
5,0_01_13,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_13.npy,0
6,0_01_14,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_14.npy,0
7,0_01_15,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_15.npy,0
8,0_01_16,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_16.npy,0
9,0_01_17,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_17.npy,0
10,0_01_18,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_18.npy,0
11,0_01_19,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_19.npy,0
12,0_01_2,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_2.npy,0
13,0_01_20,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_20.npy,0
14,0_01_21,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_21.npy,0
15,0_01_22,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_22.npy,0
16,0_01_23,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_23.npy,0
17,0_01_24,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_24.npy,0
18,0_01_25,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_25.npy,0
19,0_01_26,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_26.npy,0
20,0_01_27,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_27.npy,0
21,0_01_28,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_28.npy,0
22,0_01_29,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_29.npy,0
23,0_01_3,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_3.npy,0
24,0_01_30,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_30.npy,0
25,0_01_31,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_31.npy,0
26,0_01_32,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_32.npy,0
27,0_01_33,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_33.npy,0
28,0_01_34,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_34.npy,0
29,0_01_35,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_35.npy,0
30,0_01_36,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_36.npy,0
31,0_01_37,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_37.npy,0
32,0_01_38,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_38.npy,0
33,0_01_39,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_39.npy,0
34,0_01_4,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_4.npy,0
35,0_01_40,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_40.npy,0
36,0_01_41,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_41.npy,0
37,0_01_42,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_42.npy,0
38,0_01_43,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_43.npy,0
39,0_01_44,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_44.npy,0
40,0_01_45,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_45.npy,0
41,0_01_46,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_46.npy,0
42,0_01_47,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_47.npy,0
43,0_01_48,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_48.npy,0
44,0_01_49,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_49.npy,0
45,0_01_5,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_5.npy,0
46,0_01_6,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_6.npy,0
47,0_01_7,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_7.npy,0
48,0_01_8,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_8.npy,0
49,0_01_9,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_01_9.npy,0
50,0_02_0,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_02_0.npy,0
51,0_02_1,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_02_1.npy,0
52,0_02_10,D:\PythonCode\Pytorch-AudioClassification-master\data\scatter\npy_data/0_02_10.npy,0
